Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
1976,Gurgaon,3.3,5,1515.15,182.8,334,1827.13,52.3,12,229.45,52.3,12,229.45,96,38,395.83,5.3,3,566.04,37,46,1243.24,57.7,55,953.21,2,1.2,600,11.77,2.2,186.92,0.4,0.1,250,1.1,0.5,454.55,14.5,6,413.79,16.05,6.9,429.91,12,40,3333.33,0.9,0.2,222.22,0.19,3.26,3.45,0.14,0.08,34.12
1977,Gurgaon,3,3,1000,180.9,366,2023.22,54,4,74.07,54,4,74.07,95.3,21,220.36,4.1,1,243.9,37,47,1270.27,53.3,41,769.23,4,0.9,225,5.66,4.3,759.72,0.5,0.4,800,0.9,0.4,444.44,16.2,7,432.1,17.6,-1,-1,18,46,2555.56,2.2,0.2,90.91,0.19,3.33,3.51,0.13,0.08,20.55
1978,Gurgaon,7.2,8,1111.11,192.3,380,1976.08,46.7,11,235.55,46.7,11,235.55,104.9,40,381.32,3.9,1,256.41,34,48,1411.76,47.2,51,1080.51,7.6,1.3,171.05,6.22,5.6,900.32,1.3,1.5,1153.85,0.6,0.2,333.33,12.8,10,781.25,14.72,-1,-1,18,54,3000,2.2,0.2,90.91,0.24,3.62,3.86,0.86,0.06,30.41
1979,Gurgaon,9,6,666.67,197,407,2065.99,45,10,222.22,45,10,222.22,105,53,504.76,4,3,750,29,38,1310.34,18,10,555.56,1.7,1,588.24,9.81,-1,-1,0.7,0.8,1142.86,0.2,0.2,1000,15,8,533.33,16.52,-1,-1,10,24,2400,2,0.3,150,0.35,3.94,4.29,0.55,0.15,33.17
1980,Gurgaon,3,4,1333.33,195,398,2041.03,38,18,473.68,38,18,473.68,112,96,857.14,4,3,750,38,56,1473.68,15,11,733.33,1.7,1.1,647.06,12.4,6.3,508.06,0.7,0.8,1142.86,0.1,0.1,1000,25,18,720,24.91,21,843.03,6.7,3,447.76,2,0.5,250,0.28,4.02,4.29,0.51,0.03,57.88
1981,Gurgaon,4,6,1500,194,424,2185.57,31,8,258.06,31,8,258.06,102,71,696.08,3,2,666.67,46,54,1173.91,29,18,620.69,0,0,0,12.73,-1,-1,0.6,0.7,1166.67,2.2,0.8,363.64,25,18,720,34.25,25.7,750.36,8,30,3750,1,0.3,300,0.42,4.06,4.47,0.63,0.05,61.77
1982,Gurgaon,3,5,1666.67,222,543,2445.95,27,5,185.19,27,5,185.19,98,75,765.31,2,2,1000,28,48,1714.29,19,14,736.84,4.1,2.9,707.32,5.86,-1,-1,0.6,0.5,833.33,1.3,0.4,307.69,25,18,720,27.52,-1,-1,8,24,3000,1,0.3,300,0.7,3.86,4.56,0.5,0.02,73.85
1983,Gurgaon,5,12,2400,224,535,2388.39,33,9,272.73,33,9,272.73,103,66,640.78,3,2,666.67,27,44,1629.63,28,21,750,6.1,3.9,639.34,9.94,-1,-1,0.7,0.6,857.14,1.9,0.7,368.42,27,24,888.89,29.83,-1,-1,7,28,4000,1,0.2,200,0.72,4.48,5.2,0.52,0.08,65.78
1984,Gurgaon,7,14,2000,203,457,2251.23,40,11,275,40,11,275,82,60,731.71,3,2,666.67,27,42,1555.56,27,20,740.74,7.7,5,649.35,8.45,-1,-1,1.3,1,769.23,2.9,1,344.83,38,39,1026.32,42.72,-1,-1,4,18,4500,1,0.2,200,0.66,4.95,5.61,0.52,0.1,62.82
1985,Gurgaon,11,30,2727.27,195,524,2687.18,26,4,153.85,26,4,153.85,52,31,596.15,4,3,750,37,68,1837.84,40,46,1150,1,0.6,600,18,9,500,0.3,0.3,1000,3.3,1.2,363.64,43,33,767.44,47.56,34.7,729.6,6,28,4666.67,1,0.2,200,0.8,6.25,7.04,0.37,0.3,58.27
1986,Gurgaon,11,20,1818.18,214,476,2224.3,52,13,250,52,13,250,81,27,333.33,5,1,200,27,38,1407.41,23,9,391.3,3.9,2.9,743.59,5.17,-1,-1,0.3,0.7,2333.33,3.6,1.2,333.33,36,24,666.67,40.51,-1,-1,7,30,4285.71,0,0,0,0.63,3.37,4.01,0.11,0.01,52.45
1987,Gurgaon,4,6,1500,206,501,2432.04,42,2,47.62,42,2,47.62,57,22,385.96,3,1,333.33,18,26,1444.44,5,2,400,5.4,2.8,518.52,1.27,-1,-1,0.1,0.1,1000,1.1,0.3,272.73,49,54,1102.04,50.96,-1,-1,11,39,3545.45,1,0.2,200,0.74,4.6,5.34,0.5,0.02,45.95
1988,Gurgaon,5,12,2400,219,617,2817.35,46,11,239.13,46,11,239.13,89,100,1123.6,2,1,500,16,27,1687.5,15,10,666.67,6,4.3,716.67,2.1,0.6,285.71,0.1,0.1,1000,2.7,0.8,296.3,54,69,1277.78,56.2,69,1227.76,11,48,4363.64,1,0.2,200,0.72,4.5,5.22,0.5,0.05,73.08
1989,Gurgaon,10,24,2400,208,547,2629.81,32,8,250,32,8,250,74,54,729.73,2,1,500,13,21,1615.38,2,1,500,6.5,4.6,707.69,3.1,1.3,419.35,0.1,0.1,1000,5.1,0.9,176.47,66,67,1015.15,68.9,68.7,997.1,9,36,4000,0,0,0,0.53,5.39,5.91,0.42,0.14,-1
1990,Gurgaon,9.3,27,2903.23,210,585,2785.71,45.6,22,482.46,45.6,22,482.46,78.6,80,1017.81,1.9,1,526.32,14,25,1785.71,13.8,8,579.71,9.5,6,631.58,2.2,0.8,363.64,0.2,0.1,500,2.8,0.7,250,76.7,98,1277.71,79.7,98.8,1239.65,9.4,42,4468.09,0.4,0,0,0.64,5.69,6.33,0.45,0.02,0
1991,Gurgaon,7.6,24,3157.89,180,587,3261.11,30.7,9,293.16,30.7,9,293.16,66,45,681.82,1.4,1,714.29,15.1,27,1788.08,9.4,6,638.3,9.4,6,638.3,0.9,0.4,444.44,0.4,0.2,500,2.1,0.5,238.1,92.8,93,1002.16,95.3,93.7,983.21,11.7,53,4529.91,0.2,0,0,0.52,5.66,6.19,0.51,0.03,0
1992,Gurgaon,10.4,28,2692.31,207.2,664,3204.63,38.7,18,465.12,38.7,18,465.12,85.5,106,1239.77,1.2,1,833.33,14.1,33,2340.43,11.8,7,593.22,7.6,4.9,644.74,1.4,0.4,285.71,0.5,0.3,600,1.4,0.4,285.71,66.7,58,869.57,68.8,58.9,856.1,11.9,46,3865.55,0.4,0.34,850,0.39,5.77,6.15,0.53,0.07,0
1993,Gurgaon,16.3,46,2822.09,224,721,3218.75,33.5,9,268.66,33.5,9,268.66,67.9,51,751.1,1.1,1,909.09,8.7,25,2873.56,7.8,7,897.44,7.7,5.7,740.26,1.6,0.5,312.5,0.6,0.4,666.67,1.2,0.2,166.67,74.7,97,1298.53,76.7,97.6,1272.49,9.5,42,4421.05,0.8,0.17,212.5,1.29,6.07,7.34,0.65,0.02,0
1994,Gurgaon,19.1,53,2774.87,223.9,770,3439.04,35.3,9,254.96,35.3,9,254.96,68.7,64,931.59,1,2,2000,8.1,26,3209.88,7.3,6,821.92,7.8,5.7,730.77,0.7,0.5,714.29,0.6,0.4,666.67,1,0.2,200,71,93,1309.86,72.7,93.6,1287.48,7,38,5428.57,1.5,0.34,226.67,1.04,6.54,7.58,0.6,0.46,0
1995,Gurgaon,21.2,46,2169.81,224.6,794,3535.17,37.6,9,239.36,37.6,9,239.36,74.4,55,739.25,1.1,2,1818.18,8.1,17,2098.77,8.5,4,470.59,0,0,0,0,0,0,1.1,0.8,727.27,2.1,0.6,285.71,64.7,85,1313.76,67.5,86.1,1275.56,9.4,41,4361.7,0.9,0.17,188.89,1.18,8.44,9.62,1,0.06,0
1996,Gurgaon,20.7,58,2801.93,225,845,3755.56,40.3,11,272.95,40.3,11,272.95,68.2,61,894.43,0.9,2,2222.22,6.3,17,2698.41,6,7,1166.67,0,0,0,0,0,0,1.1,0.7,636.36,1.4,0.3,214.29,70.7,87,1230.55,73.5,88,1197.28,10.5,55,5238.1,0.8,0.34,425,0.8,4.08,4.88,1.03,0.03,0
1997,Gurgaon,27.3,79,2893.77,239.8,877,3657.21,47.2,13,275.42,47.2,13,275.42,71.7,80,1115.76,0.6,2,3333.33,6,18,3000,8.7,8,919.54,11.3,5.9,522.12,2.6,1.1,423.08,0.8,0.7,875,1.2,0.2,166.67,47.7,42,880.5,49.7,42.9,863.18,10.2,43,4215.69,0.3,0,0,0.81,5.11,5.92,0.1,0.04,0
1998,Gurgaon,41,95,2317.07,258,873,3383.72,43,7,162.79,43,7,162.79,71,75,1056.34,0,0,0,6,14,2333.33,6,6,1000,7,4,571.43,2,1,500,0,0,0,1,0,0,43,55,1279.07,45,55,1222.22,7,30,4285.71,0,0,0,1.19,5.04,6.23,0.42,0.05,56.43
1999,Gurgaon,38.3,80,2088.77,260.5,1031,3957.77,38.6,6,155.44,38.6,6,155.44,74.4,80,1075.27,0.8,2,2500,5.1,11,2156.86,4.7,4,851.06,4.6,2.9,630.43,2.7,0.9,333.33,0.1,0,0,2.1,0.3,142.86,48.8,68,1393.44,51,68.3,1339.22,8.6,41,4767.44,0.2,0,0,1.04,8.02,9.05,0.14,0.85,58.62
2000,Gurgaon,36.8,100,2717.39,270.3,1020,3773.58,37.9,7,184.7,37.9,7,184.7,78.9,97,1229.4,0.8,2,2500,5.9,16,2711.86,0.9,1,1111.11,7,3.4,485.71,1,0.1,100,0,0,0,1.6,0.3,187.5,35.9,54,1504.18,37.5,54.3,1448,7.6,36,4736.84,0.2,0,0,0.99,6.63,7.62,0.1,1.22,69.94
2001,Gurgaon,38.7,109,2816.54,252.2,937,3715.31,33.1,7,211.48,33.1,7,211.48,68.5,99,1445.26,0.9,3,3333.33,4.4,14,3181.82,1.6,1,625,4.7,3.3,702.13,2.6,1.1,423.08,0.1,0,0,2.3,0.5,217.39,61.6,99,1607.14,64,99.5,1554.69,6.8,37,5441.18,0.2,0,0,1.12,6.94,8.06,0.2,1.24,72.69
2002,Gurgaon,20.7,56,2705.31,245.2,957,3902.94,33.8,7,207.1,33.8,7,207.1,49.8,50,1004.02,0.9,2,2222.22,4.8,14,2916.67,0.7,1,1428.57,7.9,4.4,556.96,0.3,0.1,333.33,0.2,0.1,500,1.5,0.2,133.33,66.2,84,1268.88,67.9,84.3,1241.53,8,40,5000,0.4,0,0,0.99,8.69,9.69,0.36,0.77,75.16
2003,Gurgaon,35.8,97,2709.5,257.1,970,3772.85,30.4,7,230.26,30.4,7,230.26,65.6,97,1478.66,0.2,0,0,4.1,10,2439.02,1.9,2,1052.63,7.8,5.8,743.59,1.5,0.5,333.33,0.3,0.1,333.33,1.2,0.2,166.67,57,81,1421.05,58.5,81.3,1389.74,7.3,34,4657.53,0.4,0,0,0.91,8.43,9.34,0.25,0.63,84.48
2004,Gurgaon,34.51,86,2492.03,251.25,933,3713.43,25.49,7,274.62,25.49,7,274.62,62.2,79,1270.1,0.26,0,0,3.63,9,2479.34,1.01,1,990.1,4.35,3.7,850.57,4.64,0.5,107.76,0.32,0.2,625,1.06,0.3,283.02,68.89,80,1161.27,70.3,80.5,1145.09,5.93,29,4890.39,0.41,0,0,0.76,8.93,9.69,0.26,1.1,78.34
2005,Gurgaon,37.2,103,2768.82,242.1,827,3415.94,21.9,6,273.97,21.9,6,273.97,66.7,74,1109.45,0,0,0,4.9,15,3061.22,0.94,1,1063.83,3.69,3.9,1056.91,8.62,1.6,185.61,0.3,0.2,666.67,0.9,0.2,222.22,69.6,81.1,1165.23,70.83,81.5,1150.64,5.9,29,4915.25,0.5,0,0,0.88,9.62,10.52,0.25,0.65,86.31
2006,Gurgaon,37.8,105,2777.78,250.7,884,3526.13,23.3,8,343.35,23.3,8,343.35,68,110,1617.65,0.1,0,0,5.1,17,3333.33,0.9,1,1111.11,3.33,3.8,1141.14,2.47,0.4,161.94,0,0,0,1,0.3,300,57.3,66,1151.83,58.3,66.3,1137.22,6.2,31.3,5048.39,0.3,0,0,0.9,9.9,10.81,0.2,0.9,84.91
2007,Gurgaon,40.3,126,3126.55,253.1,1046,4132.75,25.3,12,474.31,25.3,12,474.31,70.4,123,1747.16,0.1,0,0,3.4,8,2352.94,0.9,1,1111.11,3.08,3.9,1266.23,6.97,2,286.94,0.2,0.1,500,0.8,0.3,375,49.9,69,1382.77,50.9,69.4,1363.46,5.7,35,6140.35,0.2,0,0,1.02,10.69,11.72,0,0.84,87.31
2008,Gurgaon,46.1,120,2603.04,247.2,1103,4461.97,21.8,11,504.59,21.8,11,504.59,68.3,124,1815.52,0.1,0.2,2000,5.6,16,2857.14,0.8,1,1250,3.45,3.4,985.51,1.96,0.5,255.1,0.1,0,0,1.5,0.6,400,47.7,85,1781.97,49.3,85.6,1736.31,4.5,26.9,5977.78,0.2,0,0,0.98,9.27,10.24,0.12,0.76,74.65
2009,Gurgaon,50.7,141,2781.07,257.8,1073,4162.14,20.3,11,541.87,20.3,11,541.87,70.2,126,1794.87,0,0,0,3.9,13,3333.33,0.7,1,1428.57,1.88,1.9,1010.64,2.23,1,448.43,0,0,0,1.2,0.4,333.33,45.9,73,1590.41,47.2,73.4,1555.08,3.1,16.2,5225.81,0.3,0,0,0.97,10.04,11.01,0.1,0.75,77.21
2010,Gurgaon,54,140,2592.59,252.3,1140,4518.43,24.2,13,537.19,24.2,13,537.19,73.4,123,1675.75,0,0,0,3.5,10,2857.14,0.4,1,2500,0,0,0,0,0,0,0,0,0,1.1,0.2,181.82,39.9,72,1804.51,40.9,72.2,1765.28,3.1,17,5483.87,0.4,0,0,0.8,11.18,11.98,0,0.63,29.5
2011,Gurgaon,54.8,149,2718.98,253.9,1227,4832.61,23.1,12,519.48,23.1,12,519.48,68.5,139,2029.2,0,0,0,3.7,17,4594.59,0.4,1,2500,0,0,0,0,0,0,0,0,0,0.8,0.3,375,41.7,79,1894.48,42.5,79.3,1865.88,3.4,26,7647.06,0.4,0,0,1.02,8.64,9.66,0,0.05,25.16
2012,Gurgaon,49.23,134,2721.92,243.45,1084,4452.66,16.37,8.5,519.24,16.37,8.5,519.24,63.95,132,2064.11,0.04,0,0,4.76,15,3151.26,0.3,0,0,2.42,2.52,1041.32,0.76,2.14,2815.79,0.01,0.01,1000,0.78,0.3,384.62,47.42,82,1729.23,48.2,82.3,1707.47,4.56,30.1,6600.88,1.26,0.68,539.68,0.87,9.37,10.23,0,0,2.84
2013,Gurgaon,55,149,2709.09,249,1114,4473.9,21,11,523.81,21,11,523.81,67,138,2059.7,0,0,0,4,16,4000,1,1,1000,1.8,1.9,1055.56,0.6,0.4,666.67,0,0,0,0.7,0.4,571.43,44,69,1568.18,45.2,69.4,1535.4,3,17.8,5933.33,1,0.68,680,0.8,10.93,11.73,0,0,8.18
2014,Gurgaon,57,159,2789.47,259,851,3285.71,16,8,500,16,8,500,68,120,1764.71,0,0,0,3,9,3000,0,0,0,0,0,0,2.2,1.6,727.27,0,0,0,0,0,0,33,44,1333.33,34.5,46.5,1347.83,2,8.7,4350,5,2.55,510,0.91,9.05,9.95,0.03,1.31,3.03
2015,Gurgaon,59,138,2338.98,257.8,1028,3987.59,17,9,529.41,17,9,529.41,68.9,126,1828.74,0,0,0,2.8,10,3571.43,0.4,1,2500,0,0,0,2,0.2,100,0,0,0,1.6,0.7,437.5,35.2,57,1619.32,36.8,57.7,1567.93,0,0,0,10.4,3.06,294.23,0.78,5.81,10.51,0,1.23,75.69
2016,Gurgaon,62.1,166,2673.11,255.2,1127,4416.14,0,0,0,20.6,15,728.16,71.1,128,1800.28,0,0,0,2.2,8,3636.36,0.4,0.3,750,0,0,0,2.3,15.3,6652.17,0,0,0,0.8,0.6,750,32.5,86,2646.15,33.3,86.7,2603.6,3.3,18,5454.55,13.3,7.2,541.35,0,0,0,9.5,0,0
2017,Gurgaon,64.2,174,2710.28,243.7,1105,4534.26,0,0,0,17.6,9,511.36,64.6,137,2120.74,0,0,0,2.3,10,4347.83,0.4,1,2500,0,0,0,1.3,17.1,13153.85,0,0,0,0.8,0.4,500,41.1,91.1,2216.55,41.9,91.6,2186.16,0,0,0,23.7,10.08,425.32,0,0,0,0,0,0
1966,Jind,5,6,1200,53,77,1452.83,32,6,187.5,32,6,187.5,54,30,555.56,3,3,1000,12,15,1250,85,51,600,0,0,0,3.48,-1,-1,0,0,0,0.3,0.1,333.33,8,4,500,8.47,-1,-1,12,34,2833.33,16,4.4,275,1.4,1.3,2.7,0.06,0.23,19.07
1967,Jind,7,8,1142.86,57,104,1824.56,36,11,305.56,36,11,305.56,59,52,881.36,3.1,3,967.74,10,8,800,101,125,1237.62,0,0,0,4.17,-1,-1,0,0,0,0.4,0.2,500,8,3,375,7.18,-1,-1,12,45,3750,19,3.6,189.47,1.5,1.48,2.98,0.03,0.25,19.17
1968,Jind,8.3,9.5,1144.58,62.2,113.5,1824.76,26.6,8.1,304.51,26.6,8.1,304.51,54.6,48.1,880.95,3.5,3.5,1000,8.1,6.5,802.47,70.3,-1,-1,0,0,0,3.29,-1,-1,0,0,0,0.6,0.2,333.33,5,3,600,5.28,-1,-1,17,89,5235.29,15,2.3,153.33,1.42,1.29,2.72,0,0.13,23.79
1969,Jind,10.7,12.2,1140.19,68.5,125,1824.82,30.2,9.2,304.64,30.2,9.2,304.64,65.9,58.1,881.64,2.8,2.8,1000,5.7,4.6,807.02,104.9,-1,-1,0,0,0,3.49,-1,-1,0,0,0,0.3,0.2,666.67,5,3,600,6.08,2.8,460.53,17,81,4764.71,16,2.9,181.25,1.17,1.34,2.51,0.05,0.14,17.01
1970,Jind,9.8,11,1122.45,77,145,1883.12,27.6,10,362.32,27.6,10,362.32,70.9,77,1086.04,3,3,1000,4,2,500,79.7,63,790.46,0,0,0,2.94,-1,-1,0,0,0,0.3,0.1,333.33,5.8,3,517.24,6.07,-1,-1,14,59,4214.29,14,2.9,207.14,1.31,1.32,2.62,0.04,0.23,24.46
1971,Jind,11.1,18,1621.62,79,162,2050.63,27.5,7,254.55,27.5,7,254.55,72.7,55,756.53,2,2,1000,4,4,1000,83.2,65,781.25,0,0,0,3.46,-1,-1,0,0,0,0.4,0.2,500,7.3,3,410.96,7.75,-1,-1,10,48,4800,16.6,3.4,204.82,1.26,1.29,2.55,0.09,0.27,25.73
1972,Jind,13.3,17,1278.2,108,186,1722.22,31.8,8,251.57,31.8,8,251.57,84,44,523.81,2,1,500,10,6,600,95.2,63,661.76,0,0,0,5.89,2.8,475.38,0,0,0,0.2,0.1,500,12.5,6,480,13,6.2,476.92,12,58,4833.33,20,3.7,185,1.39,1.73,3.12,0.04,0.19,36.34
1973,Jind,13.4,20,1492.54,105,168,1600,27.6,8,289.86,27.6,8,289.86,89.5,76,849.16,4,3,750,8,4,500,98.3,61,620.55,0,0,0,5.22,-1,-1,0,0,0,0.8,0.3,375,11.5,3,260.87,12.38,-1,-1,17,73,4294.12,20.1,4.5,223.88,1.3,1.15,2.44,0.06,0.08,44.1
1974,Jind,12,12,1000,96,163,1697.92,22.3,4,179.37,22.3,4,179.37,86,40,465.12,3,1,333.33,17,12,705.88,69.6,43,617.82,0,0,0,4.24,-1,-1,0,0,0,0.9,0.3,333.33,15.8,9,569.62,16.72,-1,-1,18,64,3555.56,19.7,4.7,238.58,1.2,1.1,2.3,0.21,0.1,36.64
1975,Jind,15.5,25,1612.9,102,202,1980.39,22.3,6,269.06,22.3,6,269.06,94,67,712.77,5,5,1000,12,11,916.67,101.4,51,502.96,0,0,0,4.44,-1,-1,0,0,0,0.8,0.4,500,13.2,4,303.03,13.96,-1,-1,20,81,4050,22.6,5,221.24,1.41,1.25,2.66,0.13,0.13,29.97
1976,Jind,16.9,30,1775.15,108,217,2009.26,23.7,5,210.97,23.7,5,210.97,94.3,68,721.1,3,2,666.67,8,7,875,105.3,103,978.16,0,0,0,4.1,2.4,585.37,0,0,0,0.7,0.4,571.43,8.8,5,568.18,9.51,5.4,567.82,21,78,3714.29,18.8,4.7,250,1.45,1.33,2.78,0.15,0.12,33.39
1977,Jind,21.5,44,2046.51,111,218,1963.96,18.1,3,165.75,18.1,3,165.75,87.1,12,137.77,2,1,500,7,8,1142.86,105.6,101,956.44,0,0,0,4.22,2.5,592.42,0,0,0,0.6,0.3,500,9.4,3,319.15,9.94,-1,-1,23,102,4434.78,19.4,4.5,231.96,1.19,1.05,2.25,0.05,0.05,35.59
1978,Jind,32.2,74,2298.14,121,284,2347.11,9.6,3,312.5,9.6,3,312.5,90.3,81,897.01,2,1,500,7,8,1142.86,94,88,936.17,0,0,0,4.86,2.9,596.71,0,0,0,0.7,0.3,428.57,7.5,5,666.67,8.14,-1,-1,21,67,3190.48,16.7,4.5,269.46,1.27,1.2,2.47,0.05,0.07,49.2
1979,Jind,39,53,1358.97,118,262,2220.34,9,2,222.22,9,2,222.22,81,54,666.67,2,1,500,5,3,600,63,41,650.79,0,0,0,5.89,-1,-1,0,0,0,0.7,0.3,428.57,7,5,714.29,7.9,-1,-1,15,36,2400,22,5.6,254.55,0.85,1.27,2.12,0.08,0.09,46.16
1980,Jind,36,86,2388.89,122,321,2631.15,9,3,333.33,9,3,333.33,84,76,904.76,2,1,500,7,8,1142.86,81,48,592.59,0,0,0,4.39,2.9,660.59,0,0,0,0.7,0.3,428.57,8,5,625,12.65,8.3,656.13,13.2,-1,-1,21,6.5,309.52,0.96,1.26,2.23,0.16,0.1,59.92
1981,Jind,39,95,2435.9,135,297,2200,9,3,333.33,9,3,333.33,82,85,1036.59,1,1,1000,5,5,1000,82,5,60.98,0,0,0,4.83,-1,-1,0,0,0,0.7,0.3,428.57,8,5,625,9.9,7.3,737.37,16,54,3375,24,7.1,295.83,0.67,0.99,1.66,0.12,0,45.72
1982,Jind,33,66,2000,152,335,2203.95,7,2,285.71,7,2,285.71,73,62,849.32,1,1,1000,4,4,1000,32,15,468.75,0,0,0,4.19,-1,-1,0,0,0,0.5,0.2,400,8,5,625,8.08,-1,-1,14,44,3142.86,30,9.2,306.67,1.24,1.15,2.38,0.09,0.01,44.91
1983,Jind,41,85,2073.17,160,374,2337.5,15,6,400,15,6,400,88,73,829.55,1,1,1000,5,5,1000,44,32,727.27,0,0,0,4.71,-1,-1,0,0,0,0.5,0.3,600,9,8,888.89,9.21,-1,-1,12,49,4083.33,33,7,212.12,0.49,1.25,1.74,0.05,0,47.85
1984,Jind,42,88,2095.24,164,408,2487.8,10,5,500,10,5,500,72,61,847.22,1,1,1000,4,5,1250,39,26,666.67,0.1,0,0,8.9,-1,-1,0,0,0,1,0.2,200,28,23,821.43,26.04,-1,-1,11,42,3818.18,24,6.1,254.17,1.38,1.41,2.8,0.07,0.08,47.55
1985,Jind,48,128,2666.67,163,487,2987.73,11,8,727.27,11,8,727.27,58,49,844.83,0,0,0,4,5,1250,48,45,937.5,5.8,5.7,982.76,4.12,3.3,800.97,0,0,0,0.5,0.3,600,23,18,782.61,20.03,15.3,763.85,11,52,4727.27,25,7,280,1.43,1.74,3.17,0.04,0.25,42.61
1986,Jind,52,107,2057.69,167,450,2694.61,8,5,625,8,5,625,65,63,969.23,1,1,1000,4,5,1250,37,26,702.7,0,0,0,8.88,-1,-1,0,0,0,0.5,0.3,600,19,14,736.84,18.89,-1,-1,14,74,5285.71,26,7.7,296.15,0.91,1.56,2.47,0.16,0.07,44.64
1987,Jind,33,52,1575.76,169,457,2704.14,19,10,526.32,19,10,526.32,48,24,500,1,1,1000,3,4,1333.33,9,4,444.44,8.7,7.1,816.09,2.19,-1,-1,0,0,0,0.6,0.1,166.67,19,16,842.11,16.41,-1,-1,16,59,3687.5,31,6.5,209.68,1.5,1.97,3.47,0.09,0.06,41.75
1988,Jind,50,117,2340,180,633,3516.67,10,5,500,10,5,500,65,77,1184.62,1,1,1000,4,6,1500,38,44,1157.89,7.5,8.4,1120,2.8,2.3,821.43,0,0,0,0.6,0.2,333.33,17,17,1000,16.1,15.9,987.58,12,64,5333.33,41,9.7,236.59,1.66,1.63,3.29,0.7,0.04,55.89
1989,Jind,76.2,180.2,2364.83,214.4,684.8,3194.03,6.4,2,312.5,6.4,2,312.5,54.6,48.4,886.45,1.4,1.4,1000,3.2,6.4,2000,28.5,18.4,645.61,7.9,8.4,1063.29,2.86,6.14,2146.85,0.1,0.1,1000,0.7,0.3,428.57,14.7,11.5,782.31,23.58,19.06,808.31,10,53,5300,40.8,15.4,377.45,1.64,2.23,3.86,0.7,0.24,-1
1990,Jind,64.69,175.16,2707.6,182.27,631.84,3466.51,6.91,4.18,605.1,6.91,4.18,605.1,48.82,42.8,876.62,0.16,0.18,1111.11,2.64,8.36,3161.88,30.97,23.54,760.14,7.5,8,1066.65,1.77,1.47,830.51,0,0,0,0.57,0.24,412.59,15.28,15.72,1028.53,16.03,15.96,995.51,12.31,71.5,5808.29,44.24,11.05,249.72,1.52,2.12,3.63,0.75,0.24,0
1991,Jind,60.15,160.4,2666.76,187.06,653.34,3492.6,4.78,1,209.21,4.78,1,209.21,40.5,37.44,924.4,0.24,0.18,737.7,3.09,6.36,2058.25,10.44,6.18,591.84,7.99,8.94,1119.46,1.53,1.35,881.36,0,0,0,0.55,0.22,393.5,27.47,25.98,945.83,31.02,30.23,974.41,14.72,82.48,5601.74,44.81,15.34,342.44,1.62,1.36,2.99,0.4,0.02,0
1992,Jind,70.82,172,2428.83,200.11,730.62,3651.02,3.93,2,508.39,3.93,2,508.39,42.26,61.34,1451.63,0.31,0.36,1168.83,2.11,5.36,2542.69,11.68,8.18,700.34,6.41,7.47,1164.33,0.91,0.93,1019.82,0,0,0,0.45,0.22,480.18,18.72,14.9,796.11,19.82,15.89,801.55,10.16,46.3,4557.98,52.36,19.21,366.83,1.3,1.7,2.99,0.53,0.07,0
